116,ALLY^B,Ally Financial Inc.,US,stock,100
117,BSI,Alon Blue Square Israel Ltd.,US,stock,100
118,ALJ,Alon USA Energy,,,100
119,ALDW,Alon USA Partners,,,100
120,AGD,Alpine Global Dynamic Dividend Fund,US,stock,100
121,AWP,Alpine Global Premier Properties Fund,US,stock,100
122,AOD,Alpine Total Dynamic Dividend Fund,US,stock,100
123,RESI,Altisource Residential Corporation,US,stock,100
124,MO,Altria Group,US,stock,100
125,ACH,Aluminum Corporation of China Limited,US,stock,100
126,AMBR,Amber Road,,,100
127,ABEV,Ambev S.A.,US,stock,100
128,AMC,AMC Entertainment Holdings,,,100
129,AMFW,Amec Plc Ord,US,stock,100
130,AEE,Ameren Corporation,US,stock,100
131,AMRC,Ameresco,,,100
132,AMX,America Movil,,,100
133,AAT,American Assets Trust,,,100
134,AXL,American Axle & Manufacturing Holdings,,,100
135,ACC,American Campus Communities Inc,US,stock,100
136,AEO,American Eagle Outfitters,,,100
137,AEP,American Electric Power Company,,,100
138,AEL,American Equity Investment Life Holding Company,US,stock,100
139,AXP,American Express Company,US,stock,100
140,AFA,American Financial Group,,,100
141,AFG,American Financial Group,,,100
142,AFGE,American Financial Group,,,100
143,AFGH,American Financial Group,,,100
144,AFW,American Financial Group,,,100
145,AMH,American Homes 4 Rent,US,stock,100
146,AMH^A,American Homes 4 Rent,US,stock,100
147,AMH^B,American Homes 4 Rent,US,stock,100
148,AMH^C,American Homes 4 Rent,US,stock,100
149,AIG,American International Group,,,100
150,AIG.WS,American International Group,,,100
151,AMID,American Midstream Partners,,,100
152,ARL,American Realty Investors,,,100
153,ARPI,American Residential Properties,,,100
154,AWR,American States Water Company,US,stock,100
155,AMT,American Tower Corporation (REIT),US,stock,100
156,AMT^A,American Tower Corporation (REIT),US,stock,100
157,AMT^B,American Tower Corporation (REIT),US,stock,100
158,AVD,American Vanguard Corporation,US,stock,100
159,AWK,American Water Works,US,stock,100
160,APU,AmeriGas Partners,,,100
161,AMP,AMERIPRISE FINANCIAL SERVICES,,,100
162,ABC,AmerisourceBergen Corporation (Holding Co),US,stock,100
163,ANFI,Amira Nature Foods Ltd,US,stock,100
164,AHS,AMN Healthcare Services Inc,US,stock,100
165,AP,Ampco-Pittsburgh Corporation,US,stock,100
166,APH,Amphenol Corporation,US,stock,100
167,BETR,Amplify Snack Brands,,,100
168,AXR,AMREP Corporation,US,stock,100
169,AME,AMTEK,,,100
170,AFSI^A,AmTrust Financial Services,,,100
171,AFSI^B,AmTrust Financial Services,,,100
172,AFSI^C,AmTrust Financial Services,,,100
173,AFSI^D,AmTrust Financial Services,,,100
174,AFSS,AmTrust Financial Services,,,100
